primary_category,place_count,avg_longitude,avg_latitude,median_year
building,418,18.432506885780416,43.858912105875774,2026.0
tourism,107,18.42415354085563,43.858813821627905,2026.0
unknown,71,18.42934343549286,43.85916650053677,2026.0
heritage,23,18.41030636098511,43.84680512879796,2026.0
leisure,21,18.424207533167937,43.85835402516979,2026.0
activity,20,18.424119991873905,43.857283450536826,2026.0
populated_place,20,18.441290705076725,43.86307795053668,2026.0
education,17,18.39618016506104,43.85666530053684,2026.0
natural,3,18.397842836204585,43.84348780053718,2026.0
access,1,18.4354076,43.8472445,2026.0
